id,name,city,state,lat,lon,source,geocode_status
541,Arcadia Brewing Company,Battle Creek,MI,42.319255,-85.182427,nominatim:city+state,ok
542,Angry Minnow Brewing Company,Hayward,WI,46.012968,-91.484873,nominatim:city+state,ok
543,Great Northern Brewing Company,Whitefish,MT,48.412338,-114.336926,nominatim:name+city+state,ok
544,Pyramid Breweries,Seattle,WA,47.603832,-122.330062,nominatim:city+state,ok
545,Lancaster Brewing Company,Lancaster,PA,40.043812,-76.298382,nominatim:name+city+state,ok
546,Upstate Brewing Company,Elmira,NY,42.089796,-76.807734,nominatim:city+state,ok
547,Moat Mountain Smoke House & Brew...,North Conway,NH,44.037776,-71.123825,nominatim:city+state,ok
548,Prescott Brewing Company,Prescott,AZ,34.539984,-112.468812,nominatim:city+state,ok
549,Mogollon Brewing Company,Flagstaff,AZ,35.198752,-111.651822,nominatim:city+state,ok
550,Wind River Brewing Company,Pinedale,WY,42.866308,-109.865990,nominatim:name+city+state,ok
551,Silverton Brewery,Silverton,CO,37.811532,-107.664365,nominatim:city+state,ok
552,Mickey Finn's Brewery,Libertyville,IL,42.286261,-87.954541,nominatim:name+city+state,ok
553,Covington Brewhouse,Covington,LA,30.475352,-90.101047,nominatim:city+state,ok
554,Dave's Brewfarm,Wilson,WI,44.953431,-92.173789,nominatim:city+state,ok
555,Ukiah Brewing Company,Ukiah,CA,39.149874,-123.207804,nominatim:name+city+state,ok
556,Butternuts Beer and Ale,Garrattsville,NY,42.649125,-75.170615,nominatim:city+state,ok
557,Sleeping Lady Brewing Company,Anchorage,AK,61.216313,-149.894852,nominatim:city+state,ok
